Title,Genre,Year,Rating (1-10),Director,Cast,Duration (min),Description,,,,,,,,,,,,
Ratatouille,"['Animation','Adventure','Comedy']",2007,8,Brad Bird; Jan Pinkava,Patton Oswalt; Ian Holm; Lou Romano,111,"Remy, a rat with a passion for cooking, forms an unlikely partnership with a clueless kitchen worker in a famed Paris restaurant. Together, they challenge culinary conventions and prove that no dream is too big, regardless of where you come from.",,,,,,,,,,,,
The Lion King,"['Animation','Adventure','Drama']",1994,8,Roger Allers; Rob Minkoff,Matthew Broderick; Jeremy Irons; James Earl Jones,88,"After the tragic death of his father, lion cub Simba must reclaim his place as king of the Pride Lands. With the guidance of friends Timon and Pumbaa, he confronts his past and restores balance to his homeland.",,,,,,,,,,,,
Frozen,"['Animation','Adventure','Comedy']",2013,7,Chris Buck; Jennifer Lee,Idina Menzel; Kristen Bell; Jonathan Groff,102,"When Elsa's icy powers trap their kingdom in eternal winter, Anna sets off on a journey with Kristoff, Sven, and Olaf to find her sister and save the land. Along the way, they discover that love, not fear, is the most powerful magic.",,,,,,,,,,,,
Inside Out,"['Animation','Adventure','Comedy']",2015,8,Pete Docter; Ronnie del Carmen,Amy Poehler; Phyllis Smith; Richard Kind,95,"Inside Riley's mind, five personified emotions navigate her family's move to a new city. Joy and Sadness team up to bring emotional balance, proving that embracing all feelings is essential for growth.",,,,,,,,,,,,
Toy Story,"['Animation','Adventure','Comedy']",1995,6,John Lasseter,Tom Hanks; Tim Allen; Don Rickles,81,"When Andy's old toys fear replacement, Woody embarks on a rescue mission with Buzz Lightyear after being separated from the toy box. In their adventure, they learn about friendship, loyalty, and finding one's place in the world.",,,,,,,,,,,,
Avengers: Endgame,"['Action','Adventure','Drama']",2019,5,Anthony Russo; Joe Russo,Robert Downey Jr.; Chris Evans; Mark Ruffalo,181,"After the catastrophic snap, the remaining Avengers devise a daring time heist to reverse Thanos' destruction. Confronted with past failures and personal loss, they unite for one final stand to restore hope to the universe.",,,,,,,,,,,,
Black Panther,"['Action','Adventure','Sci-Fi']",2018,4,Ryan Coogler,Chadwick Boseman; Michael B. Jordan; Lupita Nyong'o,134,"King T'Challa returns to Wakanda to assume the throne but faces a challenger who seeks to expose his nation's resources. Embracing his role as the Black Panther, he defends his homeland and redefines its place on the world stage.",,,,,,,,,,,,
Deadpool,"['Action','Adventure','Comedy']",2016,3,Tim Miller,Ryan Reynolds; Morena Baccarin; Ed Skrein,108,"After surviving a rogue experiment, mercenary Wade Wilson becomes Deadpool, a wisecracking antihero with accelerated healing. Breaking the fourth wall, he embarks on a bloody quest for vengeance and a chance to win back his love.",,,,,,,,,,,,
Hamilton,"['Documentary','Biography','Drama']",2020,1,Thomas Kail,Lin-Manuel Miranda; Leslie Odom Jr.; Phillipa Soo,160,"Lin-Manuel Miranda's filmed version of the Broadway sensation chronicles Alexander Hamilton's rise from immigrant orphan to founding father. Through innovative rap and soaring melodies, it explores ambition, legacy, and the price of legacy.",,,,,,,,,,,,
Mary Poppins,"['Comedy','Family','Fantasy','Musical']",1964,8,Robert Stevenson,Julie Andrews; Dick Van Dyke; David Tomlinson,139,"A magical nanny arrives at the Banks household, transforming the lives of children Jane and Michael with music, imagination, and a spoonful of sugar. Through enchanting adventures, she teaches their family the power of joy and belief.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
